,Attrition,Business Travel,CF_age band,Department,Education Field,Employee Number,Gender,Job Role,Marital Status,Over Time,Training Times Last Year,Age,Distance From Home,Education,Environment Satisfaction,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
31,No,Travel_Rarely,35 - 44,R&D,Other,40,Male,Healthcare Representative,Married,Yes,5,44,10,Master's Degree,4,3,2,4,6465,2,13,3,4,0,9,4,4,2,1,3
32,No,Travel_Rarely,25 - 34,R&D,Medical,41,Male,Laboratory Technician,Single,No,5,30,9,Associates Degree,4,2,1,3,2206,1,13,3,1,0,10,3,10,0,1,8
33,Yes,Travel_Rarely,35 - 44,Sales,Technical Degree,42,Male,Sales Representative,Married,No,6,39,5,Bachelor's Degree,4,3,2,4,2086,3,14,3,3,1,19,4,1,0,0,0
34,Yes,Travel_Rarely,Under 25,R&D,Medical,45,Male,Research Scientist,Married,Yes,2,24,1,Bachelor's Degree,2,3,1,4,2293,2,16,3,1,1,6,2,2,0,2,0
35,No,Travel_Rarely,35 - 44,R&D,Medical,46,Female,Research Scientist,Divorced,No,3,43,2,Associates Degree,4,4,1,3,2645,1,12,3,4,2,6,2,5,3,1,4
36,Yes,Travel_Rarely,45 - 54,Sales,Marketing,47,Male,Sales Representative,Married,Yes,2,50,3,Associates Degree,1,2,1,3,2683,1,14,3,3,0,3,3,3,2,0,2
37,No,Travel_Rarely,35 - 44,Sales,Marketing,49,Female,Sales Representative,Married,No,3,35,2,Bachelor's Degree,4,3,1,4,2014,1,13,3,1,0,2,3,2,2,2,2
38,No,Travel_Rarely,35 - 44,R&D,Life Sciences,51,Female,Research Scientist,Married,Yes,3,36,5,Master's Degree,2,2,1,1,3419,9,14,3,4,1,6,4,1,1,0,0
39,No,Travel_Frequently,25 - 34,Sales,Life Sciences,52,Female,Sales Executive,Married,No,3,33,1,Bachelor's Degree,3,4,2,1,5376,2,19,3,1,2,10,3,5,3,1,3
40,No,Travel_Rarely,35 - 44,R&D,Other,53,Male,Laboratory Technician,Divorced,No,3,35,4,Associates Degree,3,3,1,4,1951,1,12,3,3,1,1,3,1,0,0,0
41,No,Travel_Rarely,25 - 34,R&D,Life Sciences,54,Female,Laboratory Technician,Divorced,No,6,27,2,Master's Degree,4,3,1,1,2341,1,13,3,4,1,1,3,1,0,0,0
42,Yes,Travel_Rarely,25 - 34,R&D,Life Sciences,55,Male,Laboratory Technician,Single,No,2,26,25,Bachelor's Degree,1,1,1,3,2293,1,12,3,3,0,1,2,1,0,0,1
43,No,Travel_Frequently,25 - 34,Sales,Life Sciences,56,Male,Sales Executive,Single,No,0,27,8,Bachelor's Degree,4,3,3,3,8726,1,15,3,4,0,9,3,9,8,1,7
44,No,Travel_Frequently,25 - 34,R&D,Medical,57,Female,Laboratory Technician,Single,No,2,30,1,Associates Degree,3,3,2,4,4011,1,23,4,4,0,12,3,12,8,3,7
45,Yes,Travel_Rarely,35 - 44,R&D,Technical Degree,58,Female,Research Director,Married,No,0,41,12,Bachelor's Degree,2,3,5,3,19545,1,12,3,4,0,23,3,22,15,15,8
46,No,Non-Travel,25 - 34,Sales,Marketing,60,Male,Sales Executive,Single,No,2,34,23,Master's Degree,2,3,2,3,4568,0,20,4,3,0,10,3,9,5,8,7
47,No,Travel_Rarely,35 - 44,R&D,Life Sciences,61,Male,Research Scientist,Married,No,1,37,19,Associates Degree,2,3,1,2,3022,4,21,4,1,0,8,3,1,0,0,0
48,No,Travel_Frequently,45 - 54,Sales,Marketing,62,Male,Sales Executive,Single,Yes,4,46,5,Master's Degree,1,3,2,4,5772,4,21,4,3,0,14,3,9,6,0,8
49,No,Travel_Rarely,35 - 44,R&D,Life Sciences,63,Male,Laboratory Technician,Married,No,2,35,8,High School,4,4,1,4,2269,1,19,3,4,0,1,3,1,0,0,1
50,Yes,Travel_Rarely,45 - 54,R&D,Life Sciences,64,Male,Laboratory Technician,Single,Yes,2,48,1,Associates Degree,1,2,3,3,5381,9,13,3,4,0,23,3,1,0,0,0
51,Yes,Travel_Rarely,25 - 34,R&D,Technical Degree,65,Male,Laboratory Technician,Single,Yes,3,28,5,Master's Degree,3,3,1,3,3441,1,13,3,3,0,2,2,2,2,2,2
52,No,Travel_Rarely,35 - 44,Sales,Marketing,68,Female,Sales Executive,Divorced,Yes,2,44,1,Doctoral Degree,2,3,2,1,5454,5,21,4,3,1,9,2,4,3,1,3
53,No,Non-Travel,35 - 44,R&D,Medical,70,Male,Healthcare Representative,Married,Yes,3,35,11,Associates Degree,3,2,3,1,9884,2,13,3,3,1,10,3,4,0,2,3
54,No,Travel_Rarely,25 - 34,Sales,Marketing,72,Female,Sales Executive,Married,Yes,2,26,23,Bachelor's Degree,3,2,2,4,4157,7,19,3,3,1,5,2,2,2,0,0
55,No,Travel_Frequently,25 - 34,R&D,Life Sciences,73,Female,Research Director,Single,Yes,1,33,1,Associates Degree,1,3,3,4,13458,1,12,3,3,0,15,3,15,14,8,12
56,No,Travel_Frequently,35 - 44,Sales,Life Sciences,74,Male,Sales Executive,Married,No,3,35,18,Doctoral Degree,2,3,3,1,9069,1,22,4,4,1,9,2,9,8,1,8
57,No,Travel_Rarely,35 - 44,R&D,Medical,75,Female,Laboratory Technician,Married,Yes,3,35,23,Master's Degree,3,3,1,1,4014,3,15,3,3,1,4,3,2,2,2,2
58,No,Travel_Rarely,25 - 34,R&D,Life Sciences,76,Male,Laboratory Technician,Divorced,No,3,31,7,Master's Degree,4,3,2,4,5915,3,22,4,4,1,10,2,7,7,1,7
59,No,Travel_Rarely,35 - 44,R&D,Life Sciences,77,Male,Manufacturing Director,Divorced,No,2,37,1,Master's Degree,1,2,2,3,5993,1,18,3,3,1,7,4,7,5,0,7
60,No,Travel_Rarely,25 - 34,R&D,Medical,78,Male,Manufacturing Director,Married,Yes,3,32,1,Bachelor's Degree,1,3,2,4,6162,1,22,4,2,1,9,3,9,8,7,8
61,No,Travel_Frequently,35 - 44,R&D,Life Sciences,79,Female,Laboratory Technician,Single,No,2,38,29,Doctoral Degree,4,3,2,4,2406,1,11,3,4,0,10,3,10,3,9,9
62,No,Travel_Rarely,45 - 54,R&D,Medical,80,Female,Research Director,Divorced,Yes,2,50,7,Associates Degree,2,2,5,3,18740,5,12,3,4,1,29,2,27,3,13,8
63,No,Travel_Rarely,Over 55,Sales,Life Sciences,81,Female,Sales Executive,Single,No,3,59,25,Bachelor's Degree,1,3,3,1,7637,7,11,3,4,0,28,2,21,16,7,9
64,No,Travel_Rarely,35 - 44,R&D,Technical Degree,83,Female,Healthcare Representative,Divorced,No,2,36,8,Bachelor's Degree,3,3,3,3,10096,1,13,3,2,3,17,3,17,14,12,8
65,No,Travel_Rarely,Over 55,R&D,Medical,84,Female,Manager,Divorced,Yes,2,55,8,Bachelor's Degree,4,3,4,3,14756,2,14,3,3,3,21,3,5,0,0,2
66,No,Travel_Frequently,35 - 44,R&D,Life Sciences,85,Male,Manufacturing Director,Single,No,3,36,11,Bachelor's Degree,2,2,2,2,6499,1,13,3,3,0,6,3,6,5,0,3
67,No,Travel_Rarely,45 - 54,R&D,Life Sciences,86,Male,Research Scientist,Divorced,No,2,45,7,Bachelor's Degree,2,3,3,1,9724,2,17,3,3,1,25,3,1,0,0,0
68,No,Travel_Frequently,35 - 44,R&D,Medical,88,Male,Research Scientist,Married,No,2,35,1,Bachelor's Degree,2,3,1,1,2194,4,13,3,4,1,5,2,3,2,1,2
69,Yes,Travel_Rarely,35 - 44,R&D,Medical,90,Male,Research Scientist,Married,Yes,0,36,9,Bachelor's Degree,4,2,1,3,3388,0,17,3,1,1,2,2,1,0,0,0
70,No,Travel_Frequently,Over 55,Sales,Life Sciences,91,Female,Sales Executive,Single,No,2,59,1,High School,1,2,2,3,5473,7,11,3,4,0,20,2,4,3,1,3
71,No,Travel_Rarely,25 - 34,R&D,Life Sciences,94,Male,Research Scientist,Married,No,3,29,2,Bachelor's Degree,3,3,1,2,2703,0,23,4,4,1,6,3,5,4,0,4
72,No,Travel_Rarely,25 - 34,R&D,Medical,95,Male,Research Scientist,Single,No,4,31,1,Master's Degree,3,3,1,2,2501,1,17,3,2,0,1,3,1,1,1,0
73,No,Travel_Rarely,25 - 34,R&D,Life Sciences,96,Male,Research Scientist,Married,No,3,32,1,Bachelor's Degree,2,3,2,2,6220,1,17,3,2,2,10,3,10,4,0,9
74,No,Travel_Rarely,35 - 44,R&D,Life Sciences,97,Female,Laboratory Technician,Married,No,3,36,6,Bachelor's Degree,2,4,1,4,3038,3,12,3,2,0,5,3,1,0,0,0
75,No,Travel_Rarely,25 - 34,R&D,Life Sciences,98,Female,Manufacturing Director,Single,No,2,31,8,Master's Degree,3,3,2,4,4424,1,23,4,4,0,11,3,11,7,1,8
76,No,Travel_Rarely,35 - 44,Sales,Marketing,100,Male,Sales Executive,Single,No,2,35,1,Master's Degree,3,2,2,1,4312,0,14,3,2,0,16,3,15,13,2,8
77,No,Travel_Rarely,45 - 54,R&D,Other,101,Male,Research Director,Married,Yes,3,45,6,Master's Degree,4,3,3,1,13245,4,14,3,2,0,17,4,0,0,0,0
78,No,Travel_Rarely,35 - 44,R&D,Medical,102,Male,Research Director,Single,No,3,37,7,Master's Degree,1,3,3,3,13664,4,13,3,1,0,16,4,5,2,0,2
79,No,Travel_Rarely,45 - 54,HR,Medical,103,Male,Human Resources,Divorced,Yes,2,46,5,Associates Degree,2,3,2,2,5021,8,22,4,4,1,16,3,4,2,0,2
80,No,Travel_Rarely,25 - 34,R&D,Life Sciences,104,Male,Laboratory Technician,Married,Yes,1,30,1,High School,4,2,2,4,5126,1,12,3,3,2,10,2,10,8,3,0
81,No,Travel_Rarely,35 - 44,R&D,Medical,105,Male,Research Scientist,Single,No,3,35,1,Bachelor's Degree,2,2,1,3,2859,1,18,3,1,0,6,3,6,4,0,4
82,No,Travel_Rarely,Over 55,Sales,Life Sciences,106,Male,Sales Executive,Married,No,4,55,1,Associates Degree,1,3,3,4,10239,3,14,3,4,1,24,3,1,0,1,0
83,No,Non-Travel,35 - 44,R&D,Medical,107,Female,Research Scientist,Divorced,Yes,3,38,6,Bachelor's Degree,2,1,2,4,5329,7,12,3,4,3,17,3,13,11,1,9
84,No,Travel_Rarely,25 - 34,R&D,Medical,110,Male,Manufacturing Director,Married,No,2,34,1,Associates Degree,1,3,2,2,4325,1,15,3,3,0,5,3,5,2,1,3
85,No,Travel_Rarely,Over 55,R&D,Life Sciences,112,Male,Manufacturing Director,Single,No,3,56,7,Bachelor's Degree,4,1,3,4,7260,4,11,3,1,0,37,2,6,4,0,2
86,No,Travel_Rarely,Under 25,Sales,Technical Degree,113,Male,Sales Representative,Divorced,No,3,23,2,High School,3,3,1,1,2322,3,13,3,3,1,3,3,0,0,0,0
87,No,Travel_Rarely,45 - 54,R&D,Life Sciences,116,Male,Laboratory Technician,Married,No,4,51,9,Master's Degree,4,3,1,4,2075,3,23,4,2,2,10,3,4,2,0,3
88,No,Travel_Rarely,25 - 34,R&D,Life Sciences,117,Male,Healthcare Representative,Married,No,3,30,2,Bachelor's Degree,3,2,2,4,4152,1,19,3,1,3,11,3,11,10,10,8
89,Yes,Travel_Rarely,45 - 54,Sales,Medical,118,Male,Sales Executive,Single,No,3,46,9,Associates Degree,3,2,3,4,9619,1,16,3,4,0,9,3,9,8,4,7
90,No,Travel_Frequently,35 - 44,R&D,Life Sciences,119,Male,Healthcare Representative,Married,No,3,40,1,Master's Degree,3,2,4,2,13503,1,22,4,4,1,22,2,22,3,11,11
91,No,Travel_Rarely,45 - 54,Sales,Marketing,120,Male,Sales Executive,Single,Yes,2,51,21,Master's Degree,3,3,2,4,5441,0,22,4,4,0,11,1,10,7,1,0
92,No,Travel_Rarely,25 - 34,Sales,Medical,121,Female,Sales Executive,Divorced,Yes,4,30,4,Associates Degree,3,2,2,2,5209,1,12,3,2,3,11,2,11,8,2,7
93,No,Travel_Frequently,45 - 54,R&D,Medical,124,Male,Healthcare Representative,Married,Yes,5,46,1,Bachelor's Degree,3,2,3,1,10673,2,13,3,3,1,21,2,10,9,9,5
94,No,Travel_Rarely,25 - 34,Sales,Medical,125,Male,Sales Executive,Single,No,0,32,6,Master's Degree,2,3,2,3,5010,1,16,3,1,0,12,3,11,8,5,7
95,No,Travel_Rarely,45 - 54,R&D,Technical Degree,126,Female,Research Director,Married,No,5,54,2,Master's Degree,1,3,3,3,13549,9,12,3,1,1,16,1,4,3,0,3
96,No,Travel_Rarely,Under 25,Sales,Other,128,Female,Sales Executive,Married,No,2,24,3,Associates Degree,1,3,2,3,4999,0,21,4,1,1,4,2,3,2,0,2
97,No,Non-Travel,25 - 34,Sales,Medical,129,Male,Sales Executive,Married,No,3,28,4,Bachelor's Degree,2,3,2,3,4221,1,15,3,2,0,5,4,5,4,0,4
98,No,Travel_Rarely,Over 55,Sales,Medical,131,Male,Sales Executive,Single,No,1,58,10,Master's Degree,4,3,4,3,13872,0,13,3,3,0,38,2,37,10,1,8
99,No,Non-Travel,35 - 44,R&D,Medical,132,Male,Laboratory Technician,Married,No,3,44,23,Bachelor's Degree,2,3,2,2,2042,4,12,3,3,1,17,4,3,2,1,2
100,Yes,Travel_Rarely,35 - 44,HR,Human Resources,133,Male,Human Resources,Divorced,Yes,3,37,6,Master's Degree,3,3,1,1,2073,4,22,4,4,0,7,3,3,2,0,2
101,No,Travel_Rarely,25 - 34,R&D,Life Sciences,134,Male,Research Scientist,Single,No,2,32,1,High School,4,3,1,1,2956,1,13,3,4,0,1,3,1,0,0,0
102,Yes,Travel_Frequently,Under 25,R&D,Life Sciences,137,Female,Laboratory Technician,Single,Yes,5,20,6,Bachelor's Degree,4,2,1,4,2926,1,18,3,2,0,1,3,1,0,1,0
103,No,Travel_Rarely,25 - 34,R&D,Other,138,Female,Research Scientist,Single,No,3,34,6,Master's Degree,1,3,2,3,4809,1,14,3,3,0,16,3,16,13,2,10
104,No,Non-Travel,35 - 44,R&D,Life Sciences,139,Male,Healthcare Representative,Divorced,No,2,37,2,Associates Degree,3,2,2,4,5163,5,14,3,4,1,17,4,1,0,0,0
105,No,Non-Travel,Over 55,HR,Human Resources,140,Female,Manager,Married,No,3,59,2,Master's Degree,3,2,5,4,18844,9,21,4,4,1,30,3,3,2,2,2
106,No,Travel_Frequently,45 - 54,R&D,Life Sciences,141,Female,Research Director,Married,Yes,1,50,1,Bachelor's Degree,1,3,5,2,18172,3,19,3,1,0,28,2,8,3,0,7
107,Yes,Travel_Rarely,25 - 34,Sales,Marketing,142,Male,Sales Executive,Single,Yes,1,25,5,Bachelor's Degree,3,2,2,3,5744,1,11,3,4,0,6,3,6,4,0,3
108,No,Travel_Rarely,25 - 34,R&D,Medical,143,Male,Research Scientist,Married,No,2,25,7,High School,4,2,1,4,2889,1,11,3,3,2,2,3,2,2,2,1
109,No,Travel_Rarely,Under 25,R&D,Medical,144,Female,Laboratory Technician,Single,No,5,22,15,Bachelor's Degree,2,3,1,4,2871,1,15,3,3,0,1,3,0,0,0,0
110,No,Travel_Frequently,45 - 54,R&D,Medical,145,Female,Healthcare Representative,Single,No,1,51,1,Master's Degree,1,2,3,1,7484,3,20,4,3,0,23,2,13,12,12,8
111,Yes,Travel_Frequently,25 - 34,R&D,Life Sciences,147,Male,Laboratory Technician,Single,Yes,3,34,7,Bachelor's Degree,1,1,2,3,6074,1,24,4,4,0,9,3,9,7,0,6
112,No,Non-Travel,45 - 54,HR,Human Resources,148,Female,Manager,Single,Yes,3,54,26,Bachelor's Degree,4,4,4,4,17328,2,12,3,3,0,23,3,5,3,4,4
113,No,Travel_Rarely,Under 25,R&D,Life Sciences,150,Male,Laboratory Technician,Married,No,2,24,18,High School,2,3,1,3,2774,0,12,3,3,1,6,3,5,3,1,2
114,No,Travel_Rarely,25 - 34,R&D,Life Sciences,151,Female,Research Scientist,Divorced,No,3,34,6,Master's Degree,3,2,2,2,4505,6,15,3,3,1,12,3,1,0,0,0
115,No,Travel_Rarely,35 - 44,Sales,Life Sciences,152,Male,Sales Executive,Single,No,3,37,3,Bachelor's Degree,3,3,3,4,7428,2,12,3,1,0,12,3,5,3,1,3
116,No,Travel_Rarely,25 - 34,R&D,Medical,153,Female,Manager,Single,No,6,34,5,Bachelor's Degree,3,2,3,1,11631,2,12,3,4,0,14,3,11,10,5,8
117,No,Travel_Frequently,35 - 44,Sales,Technical Degree,154,Female,Sales Executive,Married,No,6,36,11,Associates Degree,2,3,3,4,9738,0,14,3,3,1,10,3,9,7,2,8
118,No,Travel_Rarely,35 - 44,R&D,Life Sciences,155,Female,Laboratory Technician,Divorced,No,2,36,3,Associates Degree,1,3,1,4,2835,5,22,4,1,1,7,3,1,0,0,0
119,No,Travel_Frequently,35 - 44,Sales,Life Sciences,158,Male,Manager,Married,Yes,3,43,26,Associates Degree,3,3,4,4,16959,1,12,3,4,2,25,4,25,12,4,12
120,No,Travel_Frequently,25 - 34,R&D,Life Sciences,159,Male,Research Scientist,Divorced,No,2,30,23,Bachelor's Degree,1,1,1,3,2613,1,25,4,3,3,10,2,10,7,0,9
121,No,Non-Travel,25 - 34,Sales,Marketing,160,Male,Sales Executive,Married,No,2,33,22,Associates Degree,3,3,2,2,6146,0,13,3,1,1,8,4,7,7,0,7
122,Yes,Travel_Rarely,Over 55,R&D,Life Sciences,161,Female,Research Scientist,Married,Yes,2,56,14,Master's Degree,2,3,1,2,4963,9,18,3,1,3,7,3,5,4,4,3
123,No,Travel_Rarely,45 - 54,R&D,Life Sciences,162,Male,Research Director,Single,No,5,51,6,Bachelor's Degree,1,3,5,3,19537,7,13,3,3,0,23,3,20,18,15,15
124,Yes,Travel_Rarely,25 - 34,Sales,Life Sciences,163,Male,Sales Executive,Married,Yes,3,31,6,Master's Degree,2,1,2,3,6172,4,18,3,2,0,12,2,7,7,7,7
125,No,Travel_Rarely,25 - 34,R&D,Other,164,Female,Research Scientist,Married,No,3,26,6,Bachelor's Degree,3,2,1,2,2368,1,19,3,3,0,5,2,5,4,4,3
126,Yes,Travel_Rarely,Over 55,R&D,Medical,165,Female,Healthcare Representative,Married,No,3,58,23,Master's Degree,4,3,3,4,10312,1,12,3,4,1,40,2,40,10,15,6
127,Yes,Travel_Rarely,Under 25,Sales,Marketing,167,Male,Sales Representative,Single,Yes,2,19,22,High School,4,3,1,3,1675,1,19,3,4,0,0,2,0,0,0,0
128,No,Travel_Rarely,Under 25,R&D,Technical Degree,169,Male,Laboratory Technician,Married,No,2,22,2,High School,3,3,1,4,2523,0,14,3,3,1,3,3,2,1,2,1
129,No,Travel_Rarely,45 - 54,R&D,Medical,170,Female,Manufacturing Director,Married,No,2,49,20,Master's Degree,3,3,2,1,6567,1,14,3,3,0,16,2,15,11,5,11
130,No,Travel_Frequently,35 - 44,R&D,Medical,171,Female,Research Scientist,Single,No,2,43,28,Bachelor's Degree,2,4,1,3,4739,4,12,3,4,0,18,3,3,2,1,2
131,No,Travel_Frequently,45 - 54,Sales,Marketing,174,Female,Sales Executive,Single,No,3,50,12,Bachelor's Degree,3,3,3,4,9208,4,11,3,4,0,16,3,2,2,2,1
132,Yes,Travel_Rarely,25 - 34,Sales,Life Sciences,175,Female,Sales Executive,Married,Yes,2,31,20,Bachelor's Degree,2,1,2,3,4559,3,11,3,3,1,4,3,2,2,2,2
133,No,Travel_Rarely,35 - 44,Sales,Life Sciences,176,Male,Sales Executive,Divorced,Yes,2,41,9,High School,3,3,3,3,8189,3,13,3,3,1,12,3,9,7,0,7
134,No,Travel_Rarely,25 - 34,HR,Life Sciences,177,Female,Human Resources,Married,No,3,26,25,High School,3,3,1,3,2942,1,23,4,4,1,8,3,8,7,5,7
135,No,Travel_Rarely,35 - 44,R&D,Medical,178,Male,Manufacturing Director,Divorced,No,0,36,6,Associates Degree,2,3,2,2,4941,6,20,4,4,2,7,3,3,2,0,1
136,Yes,Travel_Frequently,45 - 54,R&D,Life Sciences,179,Male,Manufacturing Director,Single,No,2,51,8,Master's Degree,1,1,3,4,10650,2,15,3,4,0,18,3,4,2,0,3
137,No,Travel_Rarely,35 - 44,Sales,Life Sciences,182,Female,Sales Executive,Married,No,1,39,4,Master's Degree,4,2,2,3,5902,4,14,3,3,1,17,4,15,11,5,9
138,No,Travel_Rarely,25 - 34,Sales,Life Sciences,183,Male,Sales Executive,Married,No,3,25,28,Bachelor's Degree,1,2,2,3,8639,2,18,3,4,0,6,3,2,2,2,2
139,No,Travel_Rarely,25 - 34,HR,Human Resources,184,Male,Human Resources,Married,Yes,2,30,9,Bachelor's Degree,3,3,2,4,6347,0,19,3,4,0,12,1,11,9,4,7
140,Yes,Travel_Rarely,25 - 34,R&D,Medical,190,Female,Laboratory Technician,Single,No,2,32,9,Bachelor's Degree,1,3,1,1,4200,7,22,4,1,0,10,4,5,4,0,4
141,No,Travel_Rarely,45 - 54,R&D,Medical,192,Male,Research Scientist,Single,No,2,45,29,Bachelor's Degree,3,3,1,4,3452,5,13,3,2,0,9,2,6,5,0,3
142,No,Travel_Rarely,35 - 44,R&D,Technical Degree,193,Female,Research Scientist,Single,Yes,2,38,3,Doctoral Degree,4,3,2,3,4317,3,20,4,2,0,19,3,3,2,2,2
143,No,Travel_Rarely,25 - 34,R&D,Life Sciences,194,Female,Research Scientist,Single,No,4,30,18,Bachelor's Degree,1,3,1,3,2632,1,14,3,3,0,5,2,5,4,0,4
